producer,sku,name,display_name,category,description,units,unit_type,variant_unit_name,price,on_hand,on_demand,shipping_category,tax_category
User Enterprise,1,Imported Product 1,Orange Tree,Vegetables,,1,g,,2,100,,Shipping Category Name,Tax Category Name
User Enterprise,2,Imported Product 2,Orange Tree,Vegetables,,2,g,,3,101,,Shipping Category Name,Tax Category Name
User Enterprise,3,Imported Product 3,Orange Tree,Vegetables,,3,g,,4,102,,Shipping Category Name,Tax Category Name
User Enterprise,4,Imported Product 4,Orange Tree,Vegetables,,4,g,,5,103,,Shipping Category Name,Tax Category Name
User Enterprise,5,Imported Product 5,Orange Tree,Vegetables,,5,g,,6,104,,Shipping Category Name,Tax Category Name
User Enterprise,6,Imported Product 6,Orange Tree,Vegetables,,6,g,,7,105,,Shipping Category Name,Tax Category Name
User Enterprise,7,Imported Product 7,Orange Tree,Vegetables,,7,g,,8,106,,Shipping Category Name,Tax Category Name
User Enterprise,8,Imported Product 8,Orange Tree,Vegetables,,8,g,,9,107,,Shipping Category Name,Tax Category Name
User Enterprise,9,Imported Product 9,Orange Tree,Vegetables,,9,g,,10,108,,Shipping Category Name,Tax Category Name
User Enterprise,10,Imported Product 10,Orange Tree,Vegetables,,10,g,,11,109,,Shipping Category Name,Tax Category Name
User Enterprise,11,Imported Product 11,Orange Tree,Vegetables,,11,g,,12,110,,Shipping Category Name,Tax Category Name
User Enterprise,12,Imported Product 12,Orange Tree,Vegetables,,12,g,,13,111,,Shipping Category Name,Tax Category Name
User Enterprise,13,Imported Product 13,Orange Tree,Vegetables,,13,g,,14,112,,Shipping Category Name,Tax Category Name
User Enterprise,14,Imported Product 14,Orange Tree,Vegetables,,14,g,,15,113,,Shipping Category Name,Tax Category Name
User Enterprise,15,Imported Product 15,Orange Tree,Vegetables,,15,g,,16,114,,Shipping Category Name,Tax Category Name
User Enterprise,16,Imported Product 16,Orange Tree,Vegetables,,16,g,,17,115,,Shipping Category Name,Tax Category Name
User Enterprise,17,Imported Product 17,Orange Tree,Vegetables,,17,g,,18,116,,Shipping Category Name,Tax Category Name
User Enterprise,18,Imported Product 18,Orange Tree,Vegetables,,18,g,,19,117,,Shipping Category Name,Tax Category Name
User Enterprise,19,Imported Product 19,Orange Tree,Vegetables,,19,g,,20,118,,Shipping Category Name,Tax Category Name
User Enterprise,20,Imported Product 20,Orange Tree,Vegetables,,20,g,,21,119,,Shipping Category Name,Tax Category Name
User Enterprise,21,Imported Product 21,Orange Tree,Vegetables,,21,g,,22,120,,Shipping Category Name,Tax Category Name
User Enterprise,22,Imported Product 22,Orange Tree,Vegetables,,22,g,,23,121,,Shipping Category Name,Tax Category Name
User Enterprise,23,Imported Product 23,Orange Tree,Vegetables,,23,g,,24,122,,Shipping Category Name,Tax Category Name
User Enterprise,24,Imported Product 24,Orange Tree,Vegetables,,24,g,,25,123,,Shipping Category Name,Tax Category Name
User Enterprise,25,Imported Product 25,Orange Tree,Vegetables,,25,g,,26,124,,Shipping Category Name,Tax Category Name
User Enterprise,26,Imported Product 26,Orange Tree,Vegetables,,26,g,,27,125,,Shipping Category Name,Tax Category Name
User Enterprise,27,Imported Product 27,Orange Tree,Vegetables,,27,g,,28,126,,Shipping Category Name,Tax Category Name
User Enterprise,28,Imported Product 28,Orange Tree,Vegetables,,28,g,,29,127,,Shipping Category Name,Tax Category Name
User Enterprise,29,Imported Product 29,Orange Tree,Vegetables,,29,g,,30,128,,Shipping Category Name,Tax Category Name
User Enterprise,30,Imported Product 30,Orange Tree,Vegetables,,30,g,,31,129,,Shipping Category Name,Tax Category Name
User Enterprise,31,Imported Product 31,Orange Tree,Vegetables,,31,g,,32,130,,Shipping Category Name,Tax Category Name
User Enterprise,32,Imported Product 32,Orange Tree,Vegetables,,32,g,,33,131,,Shipping Category Name,Tax Category Name
User Enterprise,33,Imported Product 33,Orange Tree,Vegetables,,33,g,,34,132,,Shipping Category Name,Tax Category Name
User Enterprise,34,Imported Product 34,Orange Tree,Vegetables,,34,g,,35,133,,Shipping Category Name,Tax Category Name
User Enterprise,35,Imported Product 35,Orange Tree,Vegetables,,35,g,,36,134,,Shipping Category Name,Tax Category Name
User Enterprise,36,Imported Product 36,Orange Tree,Vegetables,,36,g,,37,135,,Shipping Category Name,Tax Category Name
User Enterprise,37,Imported Product 37,Orange Tree,Vegetables,,37,g,,38,136,,Shipping Category Name,Tax Category Name
User Enterprise,38,Imported Product 38,Orange Tree,Vegetables,,38,g,,39,137,,Shipping Category Name,Tax Category Name
User Enterprise,39,Imported Product 39,Orange Tree,Vegetables,,39,g,,40,138,,Shipping Category Name,Tax Category Name
User Enterprise,40,Imported Product 40,Orange Tree,Vegetables,,40,g,,41,139,,Shipping Category Name,Tax Category Name
User Enterprise,41,Imported Product 41,Orange Tree,Vegetables,,41,g,,42,140,,Shipping Category Name,Tax Category Name
User Enterprise,42,Imported Product 42,Orange Tree,Vegetables,,42,g,,43,141,,Shipping Category Name,Tax Category Name
User Enterprise,43,Imported Product 43,Orange Tree,Vegetables,,43,g,,44,142,,Shipping Category Name,Tax Category Name
User Enterprise,44,Imported Product 44,Orange Tree,Vegetables,,44,g,,45,143,,Shipping Category Name,Tax Category Name
User Enterprise,45,Imported Product 45,Orange Tree,Vegetables,,45,g,,46,144,,Shipping Category Name,Tax Category Name
User Enterprise,46,Imported Product 46,Orange Tree,Vegetables,,46,g,,47,145,,Shipping Category Name,Tax Category Name
User Enterprise,47,Imported Product 47,Orange Tree,Vegetables,,47,g,,48,146,,Shipping Category Name,Tax Category Name
User Enterprise,48,Imported Product 48,Orange Tree,Vegetables,,48,g,,49,147,,Shipping Category Name,Tax Category Name
User Enterprise,49,Imported Product 49,Orange Tree,Vegetables,,49,g,,50,148,,Shipping Category Name,Tax Category Name
User Enterprise,50,Imported Product 50,Orange Tree,Vegetables,,50,g,,51,149,,Shipping Category Name,Tax Category Name
User Enterprise,51,Imported Product 51,Orange Tree,Vegetables,,51,g,,52,150,,Shipping Category Name,Tax Category Name
User Enterprise,52,Imported Product 52,Orange Tree,Vegetables,,52,g,,53,151,,Shipping Category Name,Tax Category Name
User Enterprise,53,Imported Product 53,Orange Tree,Vegetables,,53,g,,54,152,,Shipping Category Name,Tax Category Name
User Enterprise,54,Imported Product 54,Orange Tree,Vegetables,,54,g,,55,153,,Shipping Category Name,Tax Category Name
User Enterprise,55,Imported Product 55,Orange Tree,Vegetables,,55,g,,56,154,,Shipping Category Name,Tax Category Name
User Enterprise,56,Imported Product 56,Orange Tree,Vegetables,,56,g,,57,155,,Shipping Category Name,Tax Category Name
User Enterprise,57,Imported Product 57,Orange Tree,Vegetables,,57,g,,58,156,,Shipping Category Name,Tax Category Name
User Enterprise,58,Imported Product 58,Orange Tree,Vegetables,,58,g,,59,157,,Shipping Category Name,Tax Category Name
User Enterprise,59,Imported Product 59,Orange Tree,Vegetables,,59,g,,60,158,,Shipping Category Name,Tax Category Name
User Enterprise,60,Imported Product 60,Orange Tree,Vegetables,,60,g,,61,159,,Shipping Category Name,Tax Category Name
User Enterprise,61,Imported Product 61,Orange Tree,Vegetables,,61,g,,62,160,,Shipping Category Name,Tax Category Name
User Enterprise,62,Imported Product 62,Orange Tree,Vegetables,,62,g,,63,161,,Shipping Category Name,Tax Category Name
User Enterprise,63,Imported Product 63,Orange Tree,Vegetables,,63,g,,64,162,,Shipping Category Name,Tax Category Name
User Enterprise,64,Imported Product 64,Orange Tree,Vegetables,,64,g,,65,163,,Shipping Category Name,Tax Category Name
User Enterprise,65,Imported Product 65,Orange Tree,Vegetables,,65,g,,66,164,,Shipping Category Name,Tax Category Name
User Enterprise,66,Imported Product 66,Orange Tree,Vegetables,,66,g,,67,165,,Shipping Category Name,Tax Category Name
User Enterprise,67,Imported Product 67,Orange Tree,Vegetables,,67,g,,68,166,,Shipping Category Name,Tax Category Name
User Enterprise,68,Imported Product 68,Orange Tree,Vegetables,,68,g,,69,167,,Shipping Category Name,Tax Category Name
User Enterprise,69,Imported Product 69,Orange Tree,Vegetables,,69,g,,70,168,,Shipping Category Name,Tax Category Name
User Enterprise,70,Imported Product 70,Orange Tree,Vegetables,,70,g,,71,169,,Shipping Category Name,Tax Category Name
User Enterprise,71,Imported Product 71,Orange Tree,Vegetables,,71,g,,72,170,,Shipping Category Name,Tax Category Name
User Enterprise,72,Imported Product 72,Orange Tree,Vegetables,,72,g,,73,171,,Shipping Category Name,Tax Category Name
User Enterprise,73,Imported Product 73,Orange Tree,Vegetables,,73,g,,74,172,,Shipping Category Name,Tax Category Name
User Enterprise,74,Imported Product 74,Orange Tree,Vegetables,,74,g,,75,173,,Shipping Category Name,Tax Category Name
User Enterprise,75,Imported Product 75,Orange Tree,Vegetables,,75,g,,76,174,,Shipping Category Name,Tax Category Name
User Enterprise,76,Imported Product 76,Orange Tree,Vegetables,,76,g,,77,175,,Shipping Category Name,Tax Category Name
User Enterprise,77,Imported Product 77,Orange Tree,Vegetables,,77,g,,78,176,,Shipping Category Name,Tax Category Name
User Enterprise,78,Imported Product 78,Orange Tree,Vegetables,,78,g,,79,177,,Shipping Category Name,Tax Category Name
User Enterprise,79,Imported Product 79,Orange Tree,Vegetables,,79,g,,80,178,,Shipping Category Name,Tax Category Name
User Enterprise,80,Imported Product 80,Orange Tree,Vegetables,,80,g,,81,179,,Shipping Category Name,Tax Category Name
User Enterprise,81,Imported Product 81,Orange Tree,Vegetables,,81,g,,82,180,,Shipping Category Name,Tax Category Name
User Enterprise,82,Imported Product 82,Orange Tree,Vegetables,,82,g,,83,181,,Shipping Category Name,Tax Category Name
User Enterprise,83,Imported Product 83,Orange Tree,Vegetables,,83,g,,84,182,,Shipping Category Name,Tax Category Name
User Enterprise,84,Imported Product 84,Orange Tree,Vegetables,,84,g,,85,183,,Shipping Category Name,Tax Category Name
User Enterprise,85,Imported Product 85,Orange Tree,Vegetables,,85,g,,86,184,,Shipping Category Name,Tax Category Name
User Enterprise,86,Imported Product 86,Orange Tree,Vegetables,,86,g,,87,185,,Shipping Category Name,Tax Category Name
User Enterprise,87,Imported Product 87,Orange Tree,Vegetables,,87,g,,88,186,,Shipping Category Name,Tax Category Name
User Enterprise,88,Imported Product 88,Orange Tree,Vegetables,,88,g,,89,187,,Shipping Category Name,Tax Category Name
User Enterprise,89,Imported Product 89,Orange Tree,Vegetables,,89,g,,90,188,,Shipping Category Name,Tax Category Name
User Enterprise,90,Imported Product 90,Orange Tree,Vegetables,,90,g,,91,189,,Shipping Category Name,Tax Category Name
User Enterprise,91,Imported Product 91,Orange Tree,Vegetables,,91,g,,92,190,,Shipping Category Name,Tax Category Name
User Enterprise,92,Imported Product 92,Orange Tree,Vegetables,,92,g,,93,191,,Shipping Category Name,Tax Category Name
User Enterprise,93,Imported Product 93,Orange Tree,Vegetables,,93,g,,94,192,,Shipping Category Name,Tax Category Name
User Enterprise,94,Imported Product 94,Orange Tree,Vegetables,,94,g,,95,193,,Shipping Category Name,Tax Category Name
User Enterprise,95,Imported Product 95,Orange Tree,Vegetables,,95,g,,96,194,,Shipping Category Name,Tax Category Name
User Enterprise,96,Imported Product 96,Orange Tree,Vegetables,,96,g,,97,195,,Shipping Category Name,Tax Category Name
User Enterprise,97,Imported Product 97,Orange Tree,Vegetables,,97,g,,98,196,,Shipping Category Name,Tax Category Name
User Enterprise,98,Imported Product 98,Orange Tree,Vegetables,,98,g,,99,197,,Shipping Category Name,Tax Category Name
User Enterprise,99,Imported Product 99,Orange Tree,Vegetables,,99,g,,100,198,,Shipping Category Name,Tax Category Name
User Enterprise,100,Imported Product 100,Orange Tree,Vegetables,,100,g,,101,199,,Shipping Category Name,Tax Category Name
User Enterprise,101,Imported Product 101,Orange Tree,Vegetables,,101,g,,102,200,,Shipping Category Name,Tax Category Name
User Enterprise,102,Imported Product 102,Orange Tree,Vegetables,,102,g,,103,201,,Shipping Category Name,Tax Category Name
User Enterprise,103,Imported Product 103,Orange Tree,Vegetables,,103,g,,104,202,,Shipping Category Name,Tax Category Name
User Enterprise,104,Imported Product 104,Orange Tree,Vegetables,,104,g,,105,203,,Shipping Category Name,Tax Category Name
User Enterprise,105,Imported Product 105,Orange Tree,Vegetables,,105,g,,106,204,,Shipping Category Name,Tax Category Name
User Enterprise,106,Imported Product 106,Orange Tree,Vegetables,,106,g,,107,205,,Shipping Category Name,Tax Category Name
User Enterprise,107,Imported Product 107,Orange Tree,Vegetables,,107,g,,108,206,,Shipping Category Name,Tax Category Name
User Enterprise,108,Imported Product 108,Orange Tree,Vegetables,,108,g,,109,207,,Shipping Category Name,Tax Category Name
User Enterprise,109,Imported Product 109,Orange Tree,Vegetables,,109,g,,110,208,,Shipping Category Name,Tax Category Name
User Enterprise,110,Imported Product 110,Orange Tree,Vegetables,,110,g,,111,209,,Shipping Category Name,Tax Category Name
User Enterprise,111,Imported Product 111,Orange Tree,Vegetables,,111,g,,112,210,,Shipping Category Name,Tax Category Name
User Enterprise,112,Imported Product 112,Orange Tree,Vegetables,,112,g,,113,211,,Shipping Category Name,Tax Category Name
User Enterprise,113,Imported Product 113,Orange Tree,Vegetables,,113,g,,114,212,,Shipping Category Name,Tax Category Name
User Enterprise,114,Imported Product 114,Orange Tree,Vegetables,,114,g,,115,213,,Shipping Category Name,Tax Category Name
User Enterprise,115,Imported Product 115,Orange Tree,Vegetables,,115,g,,116,214,,Shipping Category Name,Tax Category Name
User Enterprise,116,Imported Product 116,Orange Tree,Vegetables,,116,g,,117,215,,Shipping Category Name,Tax Category Name
User Enterprise,117,Imported Product 117,Orange Tree,Vegetables,,117,g,,118,216,,Shipping Category Name,Tax Category Name
User Enterprise,118,Imported Product 118,Orange Tree,Vegetables,,118,g,,119,217,,Shipping Category Name,Tax Category Name
User Enterprise,119,Imported Product 119,Orange Tree,Vegetables,,119,g,,120,218,,Shipping Category Name,Tax Category Name
User Enterprise,120,Imported Product 120,Orange Tree,Vegetables,,120,g,,121,219,,Shipping Category Name,Tax Category Name
